SMILES,LogP
N=c1[nH]onc1-c1ccccc1,3.093
O=C(Cc1ccccc1)Nc1ccc(Br)cc1,5.245
CCc1cccs1,4.294
CC(C)c1cccs1,2.841947637519992
CCCc1cccs1,2.7954131974636924
COC1=NC(C)=NC(Cl)C1N=c1[nH]cc[nH]1,2.254
CC(C)CCO,1.939
CN1CC=C(c2cccs2)CC1,3.838
O=c1[nH]c2c(O)ccc(CCNCCCCCCS(=O)(=O)CCc3ccccc3)c2s1,2.793
NC(CCCCCNCCc1ccc(O)c2[nH]c(=O)sc12)S(=O)(=O)CCc1ccccc1,2.861877430883398
NC(CCCCNCCc1ccc(O)c2[nH]c(=O)sc12)CS(=O)(=O)CCc1ccccc1,2.6197543398686025
NC(CCCNCCc1ccc(O)c2[nH]c(=O)sc12)CCS(=O)(=O)CCc1ccccc1,2.675932775307554
NC(CCCS(=O)(=O)CCc1ccccc1)CCNCCc1ccc(O)c2[nH]c(=O)sc12,2.675917165809312
NC(CCCCS(=O)(=O)CCc1ccccc1)CNCCc1ccc(O)c2[nH]c(=O)sc12,2.6200733883637826
NC(CCCCCS(=O)(=O)CCc1ccccc1)NCCc1ccc(O)c2[nH]c(=O)sc12,2.9305509238502783
NC(Cc1ccccc1)S(=O)(=O)CCCCCCNCCc1ccc(O)c2[nH]c(=O)sc12,2.8367066453284213
NC(CS(=O)(=O)CCCCCCNCCc1ccc(O)c2[nH]c(=O)sc12)c1ccccc1,3.124947600904721
Cc1cnnc2ccc(Cl)cc12,4.047
CCc1cnnc2ccc(Cl)cc12,2.86357216682
NCc1cnnc2ccc(Cl)cc12,1.8246071264550352
CCCSC(=NO)C(=O)c1ccc(Br)cc1,5.184
COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,4.837
CC(=O)NC(CC(=O)O)C(N)=O,-0.614
NC1C2CCC1c1ccccc1C2,2.678
O=C(O)Cc1cccc(O)c1,1.687
CC(=O)Oc1ccc(C(C)=O)cc1,2.568
NC(Cn1ccnn1)Oc1ccc([N+](=O)[O-])cc1,0.535619358574341
NC(COc1ccc([N+](=O)[O-])cc1)n1ccnn1,0.7806608768894598
CC(C)C(N)Cc1ccccc1,2.1765243068810523
CCC(C)(N)Cc1ccccc1,2.272482867381768
CCC(N)C(C)c1ccccc1,2.537453083736091
CCCC(N)Cc1ccccc1,2.279544983440239
CC(N)C(N)Cc1ccccc1,0.9864432470875872
CCC(N)(N)Cc1ccccc1,1.3030946865462936
CCC(N)C(N)c1ccccc1,1.337427676133592
NCCC(N)Cc1ccccc1,0.8693313741572869
CC(Cc1ccccc1)N=c1cc(-c2nc(=N)[nH][nH]2)cc[nH]1,1.6826595367440869
CC(CN=c1cc(-c2nc(=N)[nH][nH]2)cc[nH]1)c1ccccc1,2.014143147456945
N=c1nc(-c2cc[nH]c(=NC(N)Cc3ccccc3)c2)[nH][nH]1,0.7301752211537453
N=c1nc(-c2cc[nH]c(=NCC(N)c3ccccc3)c2)[nH][nH]1,0.8074668006957172
CCc1ncc(C)nc1CC,2.979
CCc1cc(O)c([N+](=O)[O-])cc1Cl,2.493117618388528
CC(C)C(=O)NCCNCC(O)COCCCc1ccccc1,2.427
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.935
CCCCCN=c1[nH]c(SC(C)(F)F)nc(=NC)[nH]1,2.0157672847028563
CCCCC(C)N=c1[nH]c(SC(F)F)nc(=NC)[nH]1,1.9928312448875083
CCCC(C)CN=c1[nH]c(SC(F)F)nc(=NC)[nH]1,1.877074539071332
CCC(C)CCN=c1[nH]c(SC(F)F)nc(=NC)[nH]1,1.8789975977140505
CN=c1nc(SC(F)F)[nH]c(=NCCCC(C)C)[nH]1,1.9597436096930063
