SMILES,LogP
C1(NONC1C2CCCCC2)N,3.093
NCC1NONC1C1CCCCC1,3.0726580668992183
NC1NONC1C1CCCCC1,2.9511558896718944
C=1CCCCC=1CC(NC=2CCC(CC=2)BBBr)O,5.245
OCC(CC1=CCCCC1)NC1=CCC(BBBr)CC1,5.217885564084193
C(C)C1CCCS1,4.294
CCCC1CCCS1,4.421213658099082
CCC1CCCS1,4.41184382199327
N1CCNC1NC2C(OC)NC(NC2CCCl)C,2.254
CCOC1NC(C)NC(CCCl)C1NC1NCCN1,2.33625245524414
COCC1NC(C)NC(CCCl)C1NC1NCCN1,2.365327193677751
CC(C)CCO,1.939
CCC(C)CCO,2.0315141102978163
C,3.98
CC,3.9207099412552733
C1CC(CCN1C)C2CCCS2,3.838
CCN1CCC(C2CCCS2)CC1,3.7746666904149744
CN1CCC(C2CCCS2)CC1,3.8958775496184246
C=1C(CCC(OC)C=1CC=2C(NC(NC=2)N)N)OC,2.924
CCOC1C=C(CC2=CNC(N)NC2N)C(OC)CC1,2.9802669721496655
COCC1C=C(CC2=CNC(N)NC2N)C(OC)CC1,2.8438226110055314
C1C2C(C(CCC2)CCCl)CC(CCCl)C1,5.938
ClCCC1CCC2CCCC(CCCl)C2C1,6.010604656385443
O=S(O)(CCCCCCNCCC1C2C(NC(O)S2)C(CC1)O)CCC=3CCCCC=3,2.793
O=[SH](O)(CCCCCCCNCCC1CCC(O)C2NC(O)SC12)CCC1=CCCCC1,2.8169088103932394
O=[SH](O)(CCCCCCNCCC1CCC(O)C2NC(O)SC12)CCC1=CCCCC1,2.6947365742435574
C1CC=2NNCC(C=2CC1CCCl)C,4.047
CCC1CNNC2=C1CC(CCCl)CC2,4.157231360315111
CC1CNNC2=C1CC(CCCl)CC2,4.1237002759076455
FC(F)(F)S(O)(O)NC=1CCC(CC=1)C2CCCCC2,6.307
OS(O)(NCC1=CCC(C2CCCCC2)CC1)C(F)(F)F,6.431395439453168
OS(O)(NC1=CCC(C2CCCCC2)CC1)C(F)(F)F,6.432095797796114
CC(C)C1C(C(NC2NNNN2)O)SC(OC)C1BBBr,3.919
CCOC1SC(C(O)NC2NNNN2)C(C(C)C)C1BBBr,3.835843844599534
COCC1SC(C(O)NC2NNNN2)C(C(C)C)C1BBBr,3.864525045035189
C1C(CC(O)C(C(OC2CCC(CC2)CCCl)O)C1)N,5.015
NCC1CCC(C(O)OC2CCC(CCCl)CC2)C(O)C1,4.992426740342792
NC1CCC(C(O)OCC2CCC(CCCl)CC2)C(O)C1,5.1012953733844215
C(C(NO)SCCC)(O)C1CCC(BBBr)CC1,5.184
CCCCSC(NO)C(O)C1CCC(BBBr)CC1,5.180049446939291
CCCSC(NO)C(O)C1CCC(BBBr)CC1,5.302888976297656
C1CN(CCN1CCCC(C=2CCC(CC=2)F)O)C3CCCCC3OC,4.837
CCOC1CCCCC1N1CCN(CCCC(O)C2=CCC(F)CC2)CC1,4.72656224259567
COCC1CCCCC1N1CCN(CCCC(O)C2=CCC(F)CC2)CC1,4.763582032960391
C(C(NC(O)C)CC(O)O)(O)N,-0.614
CCC(O)NC(CC(O)O)C(N)O,-0.5680678834547082
CC(O)NC(CC(O)O)C(N)O,-0.6092544794037972
FC(F)(F)C=1NC(C2C(C(CC(C2)C)C)N=1)N3CCN(CC3)C(O)OCC,7.579
CCCOC(O)N1CCN(C2NC(C(F)(F)F)=NC3C(C)CC(C)CC32)CC1,7.440697659580245
CCOCC(O)N1CCN(C2NC(C(F)(F)F)=NC3C(C)CC(C)CC32)CC1,7.584391446977718
C1C2CC=3C(C(C2N)C1)CCCC=3,2.678
NCC1C2CCC1C1CCCC=C1C2,2.7363685950667906
NC1C2CCC1C1CCCC=C1C2,2.7945168469389423
C=1C(O)CC(CC=1)CC(O)O,1.687
OCC(O)CC1CC=CC(O)C1,1.7223789579117947
CCOC(O)C(C(O)OCC)CC1CCCCC1F,4.379
CCCOC(O)C(CC1CCCCC1F)C(O)OCC,4.332101768047449
CCOCC(O)C(CC1CCCCC1F)C(O)OCC,4.43212525338297
N1(C)C(O)C(C(N(C)C1O)O)CNC2C(C=3CCC(CC)CC=3S2)C(O)OCC,7.036
CCCOC(O)C1C2=C(CC(CC)CC2)SC1NCC1C(O)N(C)C(O)N(C)C1O,6.979815801992487
CCOCC(O)C1C2=C(CC(CC)CC2)SC1NCC1C(O)N(C)C(O)N(C)C1O,6.992084376653513
O(C1CCC(C(O)C)CC1)C(C)O,2.568
CCC(O)OC1CCC(C(C)O)CC1,2.5304341072808105
CC(O)OCC1CCC(C(C)O)CC1,2.511249580786148
OC(O)CCCCCOC=1C=2CCCCC=2CCC=1,5.866
OCC(O)CCCCCOC1=CCCC2=C1CCCC2,5.7569693969771825
[N+]([O-])(O)C1CCC(OCCN2CCNN2)CC1,3.358
[O-][N+](O)CC1CCC(OCCN2CCNN2)CC1,3.4389681917546993
[O-][N+](O)C1CCC(OCCCN2CCNN2)CC1,3.4052647041680464
C(C(CC1CCCCC1)N)C,4.086
CCCC(N)CC1CCCCC1,3.9872835997618212
CCC(N)CC1CCCCC1,4.037192049215141
C1C(N(C(O)S1)CCNC(CSC=2OC(C=3SCCC=3)NN=2)O)O,3.886
OCC(CSC1=NNC(C2=CCCS2)O1)NCCN1C(O)CSC1O,3.9550982632580998
C=1C(C(C(CC=1)C2N(C(CC)O)NC(C2)C=3CCC(C4NN(C(CC)O)C(C=5C(C(CCC=5)OC)OC)C4)CC=3)OC)OC,3.062
CCCC(O)N1NC(C2CC=C(C3CC(C4CC=CC(OC)C4OC)N(C(O)CC)N3)CC2)CC1C1=CCCC(OC)C1OC,3.1477857067118045
CCC(O)N1NC(C2CC=C(C3CC(C4CC=CC(OCC)C4OC)N(C(O)CC)N3)CC2)CC1C1=CCCC(OC)C1OC,3.1533412883156045
C1CC(CC(N1)NCCC2CCCCC2)C=3NNC(N)N=3,4.106
NCC1N=C(C2CCNC(NCCC3CCCCC3)C2)NN1,4.250231281241268
